04.00	00002039	02037.0000002046	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
44.00	00002039	02037.0000002046	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
44.00	00002039	02037.00000020000204, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
8	02028.00	00002039	02037.00048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
28.00	00002039	02037.0000002048	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
