38.0000002017	02015.00	00002040	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
38.0000002017	02015.00	00002040	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
38.0000002017	02015.00	00002040	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
38.0000002017	02015.00	00002039	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
0002017	02015.00	00002039	02037.000, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
37.0000002017	02015.00	00002039	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
37.0000002017	02015.00	00002039	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
37.0000002017	02015.00	00002039	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
37.0000002017	02015.00	00002039	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
37.0000002017	02015.00	00002039	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
37.0000002017	02015.00	00002039	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
37.0000002017	02015.00	00002039	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
37.0000002017	02016.00	000020000020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
17	02016.00	00002039	02038.0039	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
300002017	02016.00	00002039	02038.0, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
08.0000002017	02016.00	00002039	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
38.0000002017	02016.00	00002039	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
38.0000002017	02016.00	00002039	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
38.0000002017	02016.00	00002039	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
38.0000002017	02016.00	00002039	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
38.0000002017	02016.00	00002039	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
38.0000002017	02016.00	00002039	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
